store,websites,attribute_set,type,sku,category_ids,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,weight,price,cost,description,short_description,meta_keyword,custom_layout_update,news_from_date,status,tax_class_id,visibility,enable_googlecheckout,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,manufacturer
admin,base,Default,simple,09002012,15,0,Fruit Cup Lid - 12 oz,Fruit Cup Lid - 12 oz,Fruit Cup Lid - 12 oz,/09002012.jpg,/09002012.jpg,/09002012.jpg,,,," , No layout updates",Block after Info Column,Fruit Cup Lid - 12 oz,Fruit Cup Lid - 12 oz,Fruit Cup Lid - 12 oz,Use config,2,$65.00 ,,"These Fruit Paper Cup Lids - 12 oz. are the perfect companion for the Fruit Paper Cups - 12 oz which are used for ice cream, gelato, frozen yogurt and many other things.            Quantity: 1,000  ","These Fruit Paper Cup Lids - 12 oz. are the perfect companion for the Fruit Paper Cups - 12 oz which are used for ice cream, gelato, frozen yogurt and many other things.             Quantity: 1,000  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002016,15,0,Fruit Cup Lid - 16 oz,Fruit Cup Lid - 16 oz,Fruit Cup Lid - 16 oz,/09002016.jpg,/09002016.jpg,/09002016.jpg,,,," , No layout updates",Block after Info Column,Fruit Cup Lid - 16 oz,Fruit Cup Lid - 16 oz,Fruit Cup Lid - 16 oz,Use config,2,$70.00 ,,"These Fruit Paper Cup Lids - 16 oz. are the perfect companion for the Fruit Paper Cups - 16 oz which are used for ice cream, gelato, frozen yogurt and many other things.            Quantity: 1,000  ","These Fruit Paper Cup Lids - 16 oz. are the perfect companion for the Fruit Paper Cups - 16 oz which are used for ice cream, gelato, frozen yogurt and many other things.                   Quantity: 1,000  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002006-12,7,0,Fruit Cup - 12 oz,Fruit Cup - 12 oz,Fruit Cup - 12 oz,/09002006-12.jpg,/09002006-12.jpg,/09002006-12.jpg,,,," , No layout updates",Block after Info Column,Fruit Cup - 12 oz,Fruit Cup - 12 oz,Fruit Cup - 12 oz,Use config,2,$100.00 ,,"These Fruit Paper Cups - 12 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.                       Capacity: 12 ounces or 355 cc's.                  Quantity: 1,000","These Fruit Paper Cups - 12 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.         Capacity: 12 ounces or 355 cc's.               Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002006-16,7,0,Fruit Cup - 16 oz,Fruit Cup - 16 oz,Fruit Cup - 16 oz,/09002006-16.jpg,/09002006-16.jpg,/09002006-16.jpg,,,," , No layout updates",Block after Info Column,Fruit Cup - 16 oz,Fruit Cup - 16 oz,Fruit Cup - 16 oz,Use config,2,$110.00 ,,"These Fruit Paper Cups - 16 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.                               Capacity: 16 ounces or 473 cc's.         Quantity: 1,000","These Fruit Paper Cups - 16 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.                      Capacity: 16 ounces or 473 cc's.        Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002006-4,7,0,Fruit Cup - 04 oz,Fruit Cup - 04 oz,Fruit Cup - 04 oz,/09002006-4.jpg,/09002006-4.jpg,/09002006-4.jpg,,,," , No layout updates",Block after Info Column,Fruit Cup - 04 oz,Fruit Cup - 04 oz,Fruit Cup - 04 oz,Use config,2,$80.00 ,,"These Fruit Paper Cups - 4 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.       Capacity: 4 ounces or 118 cc's.                       Quantity: 1,000","These Fruit Paper Cups - 4 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.                 Capacity: 4 ounces or 118 cc's.            Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002006-5,7,0,Fruit Cup - 05 oz,Fruit Cup - 05 oz,Fruit Cup - 05 oz,/09002006-5.jpg,/09002006-5.jpg,/09002006-5.jpg,,,," , No layout updates",Block after Info Column,Fruit Cup - 05 oz,Fruit Cup - 05 oz,Fruit Cup - 05 oz,Use config,2,$85.00 ,,"These Fruit Paper Cups - 5 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.                  Capacity: 5 ounces or 148 cc's.               Quantity: 1,000","These Fruit Paper Cups - 5 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.          Capacity: 5 ounces or 148 cc's.         Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002006-6,7,0,Fruit Cup - 06 oz,Fruit Cup - 06 oz,Fruit Cup - 06 oz,/09002006-6.jpg,/09002006-6.jpg,/09002006-6.jpg,,,," , No layout updates",Block after Info Column,Fruit Cup - 06 oz,Fruit Cup - 06 oz,Fruit Cup - 06 oz,Use config,2,$90.00 ,,"These Fruit Paper Cups - 6 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.    Capacity: 6 ounces or 177 cc's.          Quantity: 1,000","These Fruit Paper Cups - 6 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.                   Capacity: 6 ounces or 177 cc's.           Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002006-8,7,0,Fruit Cup - 08 oz,Fruit Cup - 08 oz,Fruit Cup - 08 oz,/09002006-8.jpg,/09002006-8.jpg,/09002006-8.jpg,,,," , No layout updates",Block after Info Column,Fruit Cup - 08 oz,Fruit Cup - 08 oz,Fruit Cup - 08 oz,Use config,2,$90.00 ,,"These Fruit Paper Cups - 8 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.          Capacity: 8 ounces or 237 cc's.               Quantity: 1,000","These Fruit Paper Cups - 8 oz. are used ice cream, gelato, frozen yogurt and many other things. Lid sold seperately.        Capacity: 8 ounces or 237 cc's.        Quantity: 1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002006-WH,12,0,White Paper Cup - 06 oz,White Paper Cup - 06 oz,White Paper Cup - 06 oz,/09002006-WH.jpg,/09002006-WH.jpg,/09002006-WH.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup - 06 oz,White Paper Cup - 06 oz,White Paper Cup - 06 oz,Use config,2,$75.00 ,,"These White Paper Cups - 6 oz. are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things. You can even place a sticker on these cups to personalize it. Lid sold seperately.                Quantity: 1,000 ","These White Paper Cups - 6 oz. are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things. You can even place a sticker on these cups to personalize it. Lid sold seperately.              Quantity: 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Default,simple,09002008-WH,12,0,White Paper Cup - 08 oz,White Paper Cup - 08 oz,White Paper Cup - 08 oz,/09002008-WH.jpg,/09002008-WH.jpg,/09002008-WH.jpg,,,," , No layout updates",Block after Info Column,White Paper Cup - 08 oz,White Paper Cup - 08 oz,White Paper Cup - 08 oz,Use config,2,$75.00 ,,"These White Paper Cups - 8 oz. are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things. You can even place a sticker on these cups to personalize it. Lid sold seperately.       Quantity: 1,000 ","These White Paper Cups - 8 oz. are used mostly for frozen yogurt but are also used for ice cream, gelato and many other things. You can even place a sticker on these cups to personalize it. Lid sold seperately.      Quantity: 1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
